chrom	geneName	strand	location	assigned_tissue_type	Hvalue	AdjustedHvalue
chr1	NFYC	+	41236781	none	2.3802	2.7235
chr1	NFYC	+	41237266	none	2.3802	2.7595
chr1	NID1	-	236139141	none	2.6064	2.7950
chr1	NUAK2	-	205271199	none	2.4482	2.7453
chr1	NUCKS1	-	205686430	none	2.2416	2.7252
chr1	NUCKS1	-	205686535	none	2.3965	2.7693
chr1	NUCKS1	-	205689682	none	2.5687	2.7648
chr1	NUCKS1	-	205696855	none	2.3993	2.7232
chr1	NUDC	+	27272879	none	2.2622	2.8066
chr1	NUF2	+	163325539	none	2.3628	2.8007
chr1	OPN3	-	241756919	none	2.5093	2.7929
chr1	OSCP1	-	36883515	none	2.6528	2.8067
chr1	PAFAH2	-	26286263	none	2.4649	2.7904
chr1	PALMD	+	100152715	none	2.3326	2.7193
chr1	PARP1	-	226548698	none	2.5102	2.7259
chr1	PBXIP1	-	154916925	none	2.4372	2.7448
chr1	PCNXL2	-	233119191	none	2.5037	2.7497
chr1	PDE4DIP	-	144898795	none	2.3691	2.7173
chr1	PDPN	+	13942737	none	2.4022	2.7957
chr1	PER3	+	7905236	none	2.5264	2.7802
chr1	PGBD5	-	230457410	none	2.6237	2.8035
chr1	PHACTR4	+	28826836	none	2.6247	2.7988
chr1	PIGC	-	172410606	none	2.3938	2.7614
chr1	PIGC	-	172410738	none	2.3938	2.7309
chr1	PIGK	-	77554684	none	2.5921	2.7729
chr1	PIGV	+	27124882	none	2.3450	2.7839
chr1	PLEKHA6	-	204187985	none	2.4010	2.7044
chr1	PLXNA2	-	208200193	none	2.4174	2.7213
chr1	PPIE	+	40219369	none	2.5571	2.7946
chr1	PRDM2	+	14114565	none	2.4571	2.7551
chr1	PRDX6	+	173457143	none	2.3761	2.7250
chr1	PRDX6	+	173457935	none	2.3761	2.7269
chr1	PRELP	+	203456283	none	2.3794	2.7236
chr1	PRKAA2	+	57180996	none	2.2644	2.7211
chr1	PRKACB	+	84704171	none	2.5056	2.8031
chr1	PRPF38B	+	109242981	none	2.2945	2.7799
chr1	PRRC2C	+	171501893	none	2.5665	2.7763
chr1	PRRC2C	+	171562631	none	2.3383	2.7277
chr1	PSMB2	-	36067430	none	2.2569	2.7327
chr1	PSRC1	-	109822190	none	2.3648	2.8052
chr1	PTGFRN	+	117531215	none	2.3612	2.7068
chr1	PTGFRN	+	117532966	none	2.3612	2.8064
chr1	PTPRC	+	198704369	none	2.5206	2.7125
chr1	PTPRC	+	198726130	none	2.6153	2.7496
chr1	RABIF	-	202849593	none	2.5928	2.7737
chr1	RALGPS2	+	178889229	none	2.4178	2.7178
chr1	RAP1A	+	112255717	none	2.6924	2.8070
chr1	RASAL2	+	178447983	none	2.4388	2.7685
chr1	RBBP4	+	33151799	none	2.4759	2.7837
chr1	RBM34	-	235295217	none	2.5108	2.7272
chr1	RCAN3	+	24867521	none	2.4029	2.8023
chr1	RER1	+	2334667	none	2.5522	2.7698
chr1	RFX5	-	151313131	none	2.2651	2.7987
chr1	RIT1	-	155867604	none	2.4197	2.7671
chr1	RLF	+	40706585	none	2.3173	2.7935
chr1	RPF1	+	84963351	none	2.5074	2.8065
chr1	RPL22	-	6245112	none	2.3899	2.7761
chr1	RPL22	-	6246275	none	2.3899	2.7927
chr1	RPRD2	+	150449029	none	2.6542	2.7031
chr1	RRP15	+	218475849	none	2.5187	2.7587
chr1	RRP15	+	218504919	none	2.6126	2.7225
chr1	RSBN1	-	114304459	none	2.2513	2.7868
chr1	RTCA	+	100757318	none	2.5089	2.7916
chr1	RUNX3	-	25226052	none	2.2997	2.8045
chr1	RUSC1	+	155300512	none	2.5766	2.7611
chr1	RUSC1	+	155300877	none	2.5766	2.7432
chr1	S100A16	-	153579377	none	2.2786	2.8024
chr1	S100A2	-	153533827	none	2.2515	2.8073
chr1	S1PR1	+	101707045	none	2.5469	2.8062
chr1	SARS	+	109780752	none	2.3843	2.7704
chr1	SASS6	-	100549126	none	2.6153	2.7938
chr1	SCCPDH	+	246930757	none	2.4046	2.7791
chr1	SCP2	+	53517277	none	2.2882	2.8035
chr1	SELL	-	169659811	none	2.3889	2.8055
chr1	SEP15	-	87328420	none	2.3225	2.7855
chr1	SERBP1	-	67877550	none	2.3813	2.7214
chr1	SETDB1	+	150937210	none	2.5599	2.8065
chr1	SFPQ	-	35649213	none	2.2741	2.7887
chr1	SFPQ	-	35649744	none	2.3959	2.7757
chr1	SFPQ	-	35654617	none	2.5833	2.7133
chr1	SGIP1	+	67210766	none	2.6396	2.8029
chr1	SH3GLB1	+	87209267	none	2.5279	2.7610
chr1	SHC1	-	154934780	none	2.4051	2.7966
chr1	SIPA1L2	-	232533723	none	2.5642	2.8050
chr1	SLC25A24	-	108677438	none	2.3186	2.7775
chr1	SLC30A1	-	211744934	none	2.4764	2.8039
chr1	SLC35A3	+	100489001	none	2.3087	2.7256
chr1	SMAP2	+	40888986	none	2.5036	2.7917
chr1	SMIM12	-	35320656	none	2.6397	2.8005
chr1	SNAP47	+	227968920	none	2.6136	2.8019
chr1	SNIP1	-	38002144	none	2.5532	2.7537
chr1	SOAT1	+	179323720	none	2.3223	2.7029
chr1	SORT1	-	109852217	none	2.5805	2.7901
chr1	SPRTN	+	231489982	none	2.4254	2.7944
chr1	SPRTN	+	231490766	none	2.4657	2.7671
chr1	SPSB1	+	9429579	none	2.3713	2.7544
chr1	SRGAP2	+	206637772	none	2.5769	2.7577
chr1	SRSF10	-	24295567	none	2.5471	2.7710
chr1	SRSF11	+	70715711	none	2.3659	2.7141
chr1	SRSF11	+	70717683	none	2.3611	2.8047
chr1	SRSF11	+	70718731	none	2.4995	2.7086
chr1	SRSF4	-	29474267	none	2.6733	2.8022
chr1	SSBP3	-	54691110	none	2.5411	2.7289
chr1	SSBP3	-	54692220	none	2.5411	2.7778
chr1	SSR2	-	155978851	none	2.6211	2.8065
chr1	ST6GALNAC5	+	77529738	none	2.3382	2.7351
chr1	STMN1	-	26226608	none	2.5439	2.7567
chr1	STMN1	-	26227062	none	2.5702	2.8045
chr1	STX6	-	180942184	none	2.6184	2.7676
chr1	STX6	-	180944104	none	2.6087	2.7110
chr1	SYF2	-	25549489	none	2.3571	2.7085
chr1	SYF2	-	25555511	none	2.5190	2.7770
chr1	SYT11	+	155854837	none	2.5238	2.7963
chr1	SYT11	+	155854978	none	2.5239	2.8022
chr1	SZRD1	+	16724627	none	2.3758	2.7922
chr1	TAF12	-	28929624	none	2.3434	2.8048
chr1	TAF5L	-	229728871	none	2.6863	2.8005
chr1	TARDBP	+	11084103	none	2.2580	2.8045
chr1	TATDN3	+	212988667	none	2.5638	2.7680
chr1	TATDN3	+	212989965	none	2.5769	2.7967
chr1	THEM4	-	151846538	none	2.3565	2.7265
chr1	THRAP3	+	36762338	none	2.4641	2.7675
chr1	THRAP3	+	36770159	none	2.3339	2.7437
chr1	TMCO1	-	165696250	none	2.4529	2.7275
chr1	TMCO1	-	165696518	none	2.2157	2.8024
chr1	TMED5	-	93617418	none	2.3725	2.8060
chr1	TMED5	-	93619914	none	2.3725	2.7350
chr1	TMEM206	-	212537821	none	2.6641	2.7912
chr1	TMEM50A	+	25687476	none	2.4065	2.7505
chr1	TMEM50A	+	25688822	none	2.4065	2.7562
chr1	TMEM53	-	45120180	none	2.5259	2.7656
chr1	TMEM59	-	54497346	none	2.6734	2.7858
chr1	TMEM59	-	54497690	none	2.6734	2.7755
chr1	TOMM20	-	235272664	none	2.3158	2.7083
chr1	TOR1AIP2	-	179810054	none	2.4767	2.7380
chr1	TOR1AIP2	-	179831585	none	2.3950	2.7626
chr1	TP53BP2	-	223967797	none	2.5168	2.7989
chr1	TRAF3IP3	+	209952998	none	2.3448	2.7168
chr1	TRAF3IP3	+	209955648	none	2.5371	2.7186
chr1	TRIM33	-	114935418	none	2.4781	2.7291
chr1	TRIM33	-	114940237	none	2.3177	2.7699
chr1	TRIM62	-	33611008	none	2.4961	2.8069
chr1	TRIT1	-	40306729	none	2.3322	2.8066
chr1	TRNAU1AP	+	28904270	none	2.2018	2.8055
chr1	TSACC	+	156316780	none	2.3637	2.7067
chr1	TSPAN2	-	115591836	none	2.3734	2.7036
chr1	TTC39A	-	51752972	none	2.5643	2.7310
chr1	TYW3	+	75232354	none	2.4751	2.7331
chr1	UAP1	+	162569615	none	2.3280	2.8060
chr1	UBAP2L	+	154235965	none	2.4231	2.7278
chr1	UBE2J2	-	1189306	none	2.5935	2.7457
chr1	UBE2J2	-	1190289	none	2.5935	2.7374
chr1	UBE2Q1	-	154522470	none	2.3063	2.8040
chr1	UBE4B	+	10240656	none	2.2337	2.7309
chr1	UBE4B	+	10241278	none	2.6637	2.7978
chr1	UBR4	-	19401013	none	2.6169	2.8063
chr1	UBXN10	+	20518314	none	2.5860	2.7293
chr1	UCHL5	-	192984896	none	2.4164	2.7693
chr1	UCK2	+	165877342	none	2.4390	2.7298
chr1	URB2	+	229795767	none	2.6283	2.7934
chr1	URB2	+	229795935	none	2.2791	2.7757
chr1	USP1	+	62910502	none	2.4812	2.7200
chr1	USP1	+	62916267	none	2.4049	2.7723
chr1	USP1	+	62917401	none	2.6272	2.8060
chr1	USP24	-	55532045	none	2.6915	2.7782
chr1	USP24	-	55533584	none	2.5452	2.7484
chr1	USP48	-	22005402	none	2.5213	2.7093
chr1	UTP11L	+	38489464	none	2.4940	2.7982
chr1	UTP11L	+	38490486	none	2.4940	2.7513
chr1	VAMP4	-	171669304	none	2.3628	2.7747
chr1	VANGL1	+	116236310	none	2.6585	2.7719
chr1	VANGL1	+	116238085	none	2.3308	2.7731
chr1	VPS13D	+	12569482	none	2.2225	2.7219
chr1	VPS13D	+	12570413	none	2.5566	2.7755
chr1	VPS72	-	151148948	none	2.4089	2.8042
chr1	WDR26	-	224575560	none	2.4113	2.7074
chr1	WDR3	+	118502677	none	2.3414	2.8054
chr1	WDR63	+	85598819	none	2.5394	2.7109
chr1	WDTC1	+	27634711	none	2.2168	2.7463
chr1	WNT2B	+	113063745	none	2.3368	2.7241
chr1	WNT2B	+	113063890	none	2.2239	2.7221
chr1	YARS	-	33240850	none	2.3701	2.8045
chr1	YBX1	+	43166504	none	2.6634	2.7263
chr1	YBX1	+	43168031	none	2.6896	2.7257
chr1	YIPF1	-	54317401	none	2.5168	2.7945
chr1	YRDC	-	38268628	none	2.3942	2.8047
chr1	ZBTB18	+	244220409	none	2.5745	2.7532
chr1	ZBTB18	+	244220764	none	2.6506	2.8068
chr1	ZBTB41	-	197122819	none	2.4730	2.8058
chr1	ZBTB8OS	-	33086428	none	2.2948	2.7270
chr1	ZBTB8OS	-	33087455	none	2.2948	2.7704
chr1	ZCCHC11	-	52888958	none	2.2991	2.7842
chr1	ZCCHC11	-	52889100	none	2.5978	2.7791
chr1	ZMPSTE24	+	40759646	none	2.3636	2.7411
chr1	ZMPSTE24	+	40759842	none	2.4570	2.8011
chr1	ZMYM6NB	-	35447159	none	2.2629	2.8067
chr1	ZMYND12	-	42896090	none	2.5326	2.7373
chr1	ZNF281	-	200374087	none	2.4452	2.7450
chr1	ZNF281	-	200375847	none	2.4401	2.8026
chr1	ZNF326	+	90493432	none	2.3152	2.7653
chr1	ZNF362	+	33766087	none	2.5317	2.7956
chr1	ZNF362	+	33766311	none	2.6029	2.7570
chr1	ZNF496	-	247461485	none	2.6082	2.7635
chr1	ZNF644	-	91380977	none	2.4706	2.7655
chr1	ZNF669	-	247261361	none	2.4592	2.8038
chr10	ABI1	-	27035821	none	2.6088	2.7376
chr10	ABI1	-	27036768	none	2.5535	2.7825
chr10	ABLIM1	-	116190878	none	2.2771	2.8048
chr10	ABLIM1	-	116191537	none	2.4963	2.7618
chr10	ACADSB	+	124814640	none	2.4227	2.7273
chr10	ACTR1A	-	104239016	none	2.4955	2.8052
chr10	ADD3	+	111893325	none	2.6449	2.7009
chr10	ADD3	+	111895317	none	2.4575	2.8034
chr10	ADD3-AS1	-	111705886	none	2.6579	2.7719
chr10	ADK	+	76468294	none	2.4503	2.7372
chr10	AIFM2	-	71872032	none	2.6693	2.7941
chr10	ANAPC16	+	73993537	none	2.2924	2.7657
chr10	ANKRD1	-	92671856	none	2.2937	2.7070
chr10	ANKRD26	-	27324572	none	2.5865	2.7693
chr10	AP3M1	-	75881548	none	2.4430	2.7717
chr10	ARID5B	+	63856698	none	2.3494	2.7978
chr10	ARL3	-	104436427	none	2.6245	2.7431
chr10	BAMBI	+	28971661	none	2.3212	2.8072
chr10	BCCIP	+	127522455	none	2.4989	2.7902
chr10	BMPR1A	+	88684945	none	2.4362	2.7323
chr10	BMPR1A	+	88687720	none	2.3581	2.7030
chr10	BNIP3	-	133781867	none	2.4742	2.7260
chr10	BTAF1	+	93790058	none	2.2448	2.7943
chr10	BTAF1	+	93790743	none	2.2158	2.7881
chr10	BTRC	+	103317059	none	2.2374	2.7872
chr10	CACUL1	-	120441036	none	2.3294	2.7045
chr10	CAMK2G	-	75572267	none	2.6698	2.8060
chr10	CCAR1	+	70531093	none	2.3357	2.7882
chr10	CCAR1	+	70545961	none	2.5219	2.7839
chr10	CCDC186	-	115896997	none	2.6848	2.7505
chr10	CDK1	+	62553980	none	2.5653	2.7712
chr10	CDK1	+	62554597	none	2.5653	2.7938
chr10	CELF2	+	11376350	none	2.6277	2.7055
chr10	CHCHD1	+	75543117	none	2.5319	2.8072
chr10	CISD1	+	60047757	none	2.5199	2.8022
chr10	CREM	+	35501074	none	2.5413	2.7378
chr10	CSGALNACT2	+	43680732	none	2.4442	2.8063
chr10	CSTF2T	-	53457022	none	2.4190	2.7897
chr10	CTBP2	-	126676904	none	2.5136	2.7893
chr10	CXCL12	-	44865615	none	2.6054	2.7163
chr10	DDX21	+	70744805	none	2.4632	2.7322
chr10	DHTKD1	+	12165187	none	2.3887	2.7975
chr10	DIP2C	-	320409	none	2.2402	2.7050
chr10	ECD	-	74894298	none	2.4873	2.7684
chr10	ECHDC3	+	11806062	none	2.5450	2.8051
chr10	EIF3A	-	120794546	none	2.4423	2.7295
chr10	EIF3A	-	120816481	none	2.6625	2.7826
chr10	EIF4EBP2	+	72188364	none	2.4479	2.7010
chr10	FAM178A	+	102724879	none	2.4934	2.7357
chr10	FAM188A	-	15820183	none	2.4311	2.7847
chr10	FAM208B	+	5805695	none	2.5335	2.8065
chr10	FGFR2	-	123237871	none	2.4678	2.7229
chr10	FGFR2	-	123238740	none	2.6191	2.7245
chr10	FRA10AC1	-	95429441	none	2.6634	2.7841
chr10	FUT11	+	75538545	none	2.5490	2.7773
chr10	FUT11	+	75540002	none	2.5490	2.7335
chr10	FZD8	-	35927549	none	2.4202	2.8033
chr10	GDI2	-	5807199	none	2.6766	2.8000
chr10	GLRX3	+	131977864	none	2.4298	2.7964
chr10	GPR123	+	134944933	none	2.5961	2.7208
chr10	GPR123	+	134945173	none	2.4869	2.7051
chr10	GRK5	+	121215130	none	2.5402	2.7959
chr10	HELLS	+	96361846	none	2.5712	2.8044
chr10	HERC4	-	69682249	none	2.5246	2.7534
chr10	HIF1AN	+	102309753	none	2.2122	2.7039
chr10	HNRNPH3	+	70102011	none	2.2897	2.7738
chr10	ITGB1	-	33189317	none	2.6761	2.7588
chr10	ITIH5	-	7601633	none	2.3123	2.7208
chr10	ITPRIP	-	106071899	none	2.4855	2.7867
chr10	JMJD1C	-	64926995	none	2.6760	2.7725
chr10	JMJD1C	-	64966468	none	2.4277	2.7312
chr10	JMJD1C	-	64974732	none	2.4206	2.7635
chr10	KAT6B	+	76792042	none	2.3864	2.7864
