chrom	geneName	strand	location	assigned_tissue_type	Hvalue	AdjustedHvalue
chr1	CDC73	+	193199201	Bcell+hES	0.7611	1.0251
chr1	CEP170	-	243348801	Bcell	1.7101	1.7550
chr1	CEPT1	+	111729792	Bcell	1.5806	1.6381
chr1	CHTOP	+	153610749	Bcell+Breast+Ovary	1.1326	1.2254
chr1	CMPK1	+	47834649	Bcell+Muscle+Testis	1.5978	1.7600
chr1	CNST	+	246755302	Testis+Bcell	1.3678	1.5479
chr1	CNST	+	246811538	Bcell	1.4037	1.7487
chr1	CTSS	-	150723716	hES+Bcell	1.6672	1.8489
chr1	DENND1B	-	197479515	Testis+hES	1.5253	1.8322
chr1	DNAJB4	+	78481989	Testis	0.4603	0.5658
chr1	DNAJC16	+	15869443	hES+Ovary	0.8543	1.1917
chr1	DNAJC16	+	15894865	Testis	0.9259	1.1894
chr1	DNAJC6	+	65881546	Muscle+Testis	1.7395	2.1825
chr1	DPYD	-	98306110	Muscle	1.6095	1.9806
chr1	DPYD	-	98341622	Bcell	0.9299	1.8371
chr1	DUSP10	-	221908802	Bcell+hES+Ovary	1.7955	2.0325
chr1	EFCAB14	-	47143957	Testis+hES+Bcell	1.1958	1.7530
chr1	EFCAB7	+	64003179	hES+Brain	1.1936	1.5447
chr1	EIF2B3	-	45425222	Bcell+hES	1.2446	1.4013
chr1	ELK4	-	205584022	Bcell	1.3377	1.5562
chr1	ELK4	-	205585230	Testis+hES+Brain	1.0590	1.1816
chr1	ELK4	-	205588415	Bcell+Muscle	1.4390	1.9856
chr1	ELTD1	-	79356779	Testis+hES	1.5404	1.8397
chr1	ELTD1	-	79418423	Bcell	1.4607	1.8533
chr1	ENSA	-	150596087	Muscle+Testis	1.6636	2.1410
chr1	EPHB2	+	23067831	Testis+Muscle+Bcell	1.0822	1.3057
chr1	ETV3	-	157100568	Bcell	1.1304	1.3510
chr1	EYA3	-	28300462	Testis	1.2002	1.3891
chr1	FAM73A	+	78311187	Bcell	0.9364	1.2332
chr1	FBXO28	+	224322361	Bcell+hES	1.1674	1.6093
chr1	FOXJ3	-	42645004	Testis+hES	0.9768	1.0938
chr1	GALNT2	+	230227774	Bcell	0.6155	0.7801
chr1	GATAD2B	-	153782287	Testis+Muscle	1.2023	1.4025
chr1	GBP2	-	89568797	hES	1.2358	1.8990
chr1	GJA5	-	147229260	hES+Testis+Bcell	1.4733	2.1670
chr1	GLUL	-	182353416	Testis	1.1712	1.8793
chr1	GPBP1L1	-	46112694	Bcell	1.2144	1.6888
chr1	GPBP1L1	-	46119878	Bcell	0.2516	0.6936
chr1	GTF2B	-	89318481	hES	1.0429	1.4296
chr1	GTF2B	-	89348451	Bcell	1.3622	1.9676
chr1	HIAT1	+	100548038	Testis	0.2607	0.3878
chr1	HIPK1	+	114516501	Testis+Bcell	1.5864	1.7301
chr1	HOOK1	+	60338642	Testis+Muscle	1.0794	1.5155
chr1	HP1BP3	-	21066773	Bcell+Breast	0.4192	0.6494
chr1	INPP5B	-	38326514	Testis	1.3912	1.4438
chr1	IPP	-	46193277	Bcell+Testis	1.6808	1.7391
chr1	ISG20L2	-	156692995	Testis	1.0320	1.5669
chr1	JAK1	-	65338388	Bcell	0.6486	0.9113
chr1	KCNK1	+	233795187	hES+Bcell+Muscle	1.7418	1.8688
chr1	KDM4A	+	44142482	Bcell	1.6908	1.8796
chr1	KDM5B	-	202736225	Muscle	1.7892	1.9196
chr1	KIAA1324	+	109749233	Brain	1.7560	1.9442
chr1	KIF1B	+	10436695	Testis+Ovary+Bcell	0.7387	0.9039
chr1	KIFAP3	-	170003641	Bcell	1.1423	1.2459
chr1	KPNA6	+	32637033	Testis	1.5609	2.0336
chr1	LAPTM5	-	31226036	hES+Bcell	1.7168	1.9538
chr1	LBR	-	225599090	Bcell	0.9753	1.1301
chr1	LBR	-	225599429	Bcell	1.0560	1.5202
chr1	LEPR	+	66107233	Brain	1.7601	1.8278
chr1	LINC00466	-	63624758	Testis+Muscle	1.5395	2.1388
chr1	LINC00466	-	63635605	Testis+Muscle	1.2932	1.9021
chr1	LPGAT1	-	211923150	Testis+hES	1.0477	1.2973
chr1	LRRC7	+	70587631	Brain+Breast+Testis	0.0000	2.1673
chr1	LRRC8B	+	90059025	Testis+Muscle	0.7789	0.8585
chr1	MACF1	+	39703427	hES	0.0806	0.1540
chr1	MAGI3	+	113947071	Testis	1.4596	1.9434
chr1	MAN1A2	+	117963266	Brain	1.0538	1.6122
chr1	MAN1A2	+	117966309	Muscle	1.5332	1.6484
chr1	MAST2	+	46311047	hES+Bcell	0.3454	0.5196
chr1	MCOLN2	-	85392096	Testis+Brain	1.0687	1.4929
chr1	MDM4	+	204518846	Testis+Muscle	1.4800	1.9801
chr1	METTL13	+	171760059	Bcell	1.0074	1.3671
chr1	MIA3	+	222814672	hES	1.4585	1.3874
chr1	MLLT11	+	151040113	Testis	0.3959	0.4888
chr1	MORN1	-	2286368	Testis+Muscle	1.6104	1.8423
chr1	MTF1	-	38280494	Testis+Bcell	1.7807	1.8788
chr1	NASP	+	46073110	hES	1.7036	2.1452
chr1	NBPF8	-	147762998	Testis+Ovary	1.7156	1.5270
chr1	NECAP2	+	16768108	Bcell	1.5185	1.8072
chr1	NEK7	+	198199515	hES	0.9455	1.2246
chr1	NEXN	+	78409792	Bcell+hES	1.2605	1.4034
chr1	NFIA	+	61719465	Testis+hES+Bcell	1.4823	1.5210
chr1	NUCKS1	-	205716999	Bcell	0.7754	0.9945
chr1	OBSCN	+	228441073	hES+Bcell	1.4223	1.6666
chr1	PBX1	+	164651700	Testis+Bcell	0.7408	0.9516
chr1	PDE4B	+	66839950	Bcell+hES+Muscle	1.7482	2.1139
chr1	PER3	+	7902963	Testis	0.7481	1.0886
chr1	PEX14	+	10607700	Bcell+hES	1.0409	1.3010
chr1	PHACTR4	+	28815769	Testis+hES	0.7403	1.3991
chr1	PHC2	-	33818823	Testis	0.7455	1.0589
chr1	PIK3R3	-	46509336	Testis+Bcell+Muscle	1.6118	1.8078
chr1	PKN2	+	89295111	Bcell	1.7487	1.8642
chr1	PKN2	+	89300354	Bcell+hES	1.4866	1.7856
chr1	PLEKHM2	+	16048013	Testis	0.6220	0.8546
chr1	POGZ	-	151400191	Testis	0.5414	0.8290
chr1	PPCS	+	42939054	Testis	0.8132	1.1866
chr1	PRPF38B	+	109245514	Bcell	1.6546	1.9040
chr1	PSMA5	-	109967879	Bcell	0.1871	0.3501
chr1	PTBP2	+	97280438	Brain+Muscle	1.2739	1.3023
chr1	PTCH2	-	45285522	Bcell+Muscle	1.1181	1.4125
chr1	PUM1	-	31431634	hES+Bcell	1.1747	1.4969
chr1	PYCR2	-	226102694	Brain+Bcell	1.6264	2.1309
chr1	RAB3GAP2	-	220439328	Bcell+hES	1.6252	2.1421
chr1	RABGAP1L	+	174215477	Bcell	1.7528	2.0686
chr1	RABGAP1L	+	174674884	Testis	1.2469	2.0427
chr1	RALGPS2	+	178697697	Bcell+Muscle	1.7485	1.7865
chr1	RALGPS2	+	178697892	Bcell	1.5958	1.7639
chr1	RALGPS2	+	178885777	Bcell+Testis	0.5917	1.7767
chr1	RAP1A	+	112201951	Breast+Ovary+Testis	1.6942	1.8512
chr1	RAP1A	+	112250029	Bcell	1.4425	1.7734
chr1	RASAL2	+	178442657	Testis+hES	1.4175	1.9504
chr1	RBM34	-	235321378	Bcell	1.1111	1.4157
chr1	RC3H1	-	173905315	Bcell+Breast	1.3451	1.8350
chr1	RC3H1	-	173907599	Testis	1.0283	1.5690
chr1	RCC1	+	28864676	Testis	1.1683	2.0366
chr1	RCOR3	+	211434545	Testis+hES	1.6821	2.0374
chr1	RCSD1	+	167612386	Bcell+hES	1.5821	1.8828
chr1	RCSD1	+	167634665	hES+Bcell+Testis	1.4634	1.7880
chr1	RERE	-	8468912	Bcell+Brain	0.2903	0.6956
chr1	RFWD2	-	175940559	Bcell+hES	0.8911	1.2811
chr1	RGL1	+	183691071	Testis+Muscle+Bcell	1.3447	1.5291
chr1	RNF11	+	51737245	Testis+Bcell	0.3978	0.6169
chr1	RNF187	+	228687597	Ovary+Breast	1.4221	1.8139
chr1	RSBN1	-	114339856	Bcell	1.4425	1.8634
chr1	SCP2	+	53516666	Testis+hES	1.1667	1.9795
chr1	SDE2	-	226172889	Testis+Bcell	0.9907	1.2041
chr1	SEP15	-	87352633	Bcell	0.2552	0.6198
chr1	SH3BGRL3	+	26607799	Muscle+Bcell	1.3454	1.4928
chr1	SLC16A1	-	113456391	Testis	0.8998	1.1018
chr1	SLC25A24	-	108681245	Testis	0.8114	0.9112
chr1	SLC25A24	-	108738088	Muscle+Brain	1.1613	1.3310
chr1	SLC25A44	+	156172760	Testis	0.2139	0.5537
chr1	SLC35D1	-	67469837	Testis+Muscle	1.0916	1.4478
chr1	SLC35D1	-	67501279	Bcell	1.6924	2.0704
chr1	SMAP2	+	40864260	Bcell+Breast	1.4698	1.6502
chr1	SNX27	+	151667041	Testis	1.2949	1.5531
chr1	SPATA6	-	48764324	Testis+Bcell+Ovary	0.9413	1.3585
chr1	SPATA6	-	48903543	Muscle+hES+Bcell	1.1713	1.2643
chr1	SPEN	+	16266636	Bcell	1.5846	2.1389
chr1	SRP9	+	225967396	Bcell+hES	1.6079	1.9950
chr1	SRSF10	-	24293949	Testis+Muscle	1.7818	2.1078
chr1	SSX2IP	-	85113023	Testis	1.6785	1.5312
chr1	ST3GAL3	+	44196599	Testis+hES	1.1013	1.3781
chr1	ST6GALNAC3	+	76647177	Bcell	1.0804	1.3439
chr1	STK40	-	36807110	Testis	1.5681	2.0829
chr1	SYF2	-	25548860	Bcell	1.2980	1.9442
chr1	THRAP3	+	36691534	Bcell	1.2179	1.5704
chr1	TIPRL	+	168148912	Bcell	0.9043	1.0663
chr1	TMCO4	-	20069815	hES+Bcell	1.6156	1.7927
chr1	TMEM57	+	25759649	Bcell	1.5450	1.6997
chr1	TOR1AIP1	+	179887524	Testis	1.6357	2.1555
chr1	TP53BP2	-	224026736	Bcell+Breast	1.6407	1.9538
chr1	TPM3	-	154131088	Brain+Bcell	1.3450	1.2745
chr1	TPM3	-	154140225	Muscle	0.3800	0.5255
chr1	TRIM33	-	115008257	hES+Bcell	0.7055	0.8347
chr1	TRIM33	-	115043352	hES+Muscle	1.0157	1.3176
chr1	TRMT13	+	100614479	Muscle+Testis+hES	1.5356	2.1912
chr1	TTF2	+	117619008	Bcell	1.0098	1.1465
chr1	UBR4	-	19477417	Bcell	1.0802	1.1095
chr1	USP24	-	55534224	Bcell+hES	1.7041	2.1897
chr1	VAMP4	-	171696722	Bcell	1.5309	1.7255
chr1	VASH2	+	213162265	Testis+Bcell	1.2421	1.4415
chr1	VPS13D	+	12559995	Bcell+Testis+Breast	1.0457	1.1659
chr1	VPS45	+	150040914	Testis	1.1577	1.3874
chr1	XPR1	+	180808002	Muscle+Bcell	1.6688	2.1466
chr1	YBX1	+	43165635	Bcell	0.8254	0.8967
chr1	YOD1	-	207222190	Testis+Muscle	0.3969	0.8953
chr1	ZBTB37	+	173847528	hES	1.6553	2.0858
chr1	ZNF124	-	247286820	Testis	0.8063	1.2690
chr1	ZNF644	-	91418558	hES+Muscle	1.0554	1.3902
chr1	ZSWIM5	-	45669981	Bcell+Testis	1.5295	2.0665
chr10	ADD3	+	111882214	Bcell+Testis	1.2474	1.3228
chr10	ANK3	-	62302333	Bcell	1.3726	1.7385
chr10	APBB1IP	+	26792002	Bcell+Ovary	1.2720	1.6022
chr10	APBB1IP	+	26802664	hES+Muscle	0.9984	1.0009
chr10	ARHGAP12	-	32108884	hES+Muscle	1.6246	2.0205
chr10	ARHGAP12	-	32180240	hES+Bcell	1.2155	1.5802
chr10	ARID5B	+	63800196	Bcell+hES	1.1182	1.4582
chr10	ATAD1	-	89514426	Testis	1.5648	2.1381
chr10	ATE1	-	123565133	Testis	0.2559	0.5524
chr10	ATE1	-	123648515	Bcell+hES	1.2591	1.5006
chr10	ATRNL1	+	117708500	Bcell+Brain+Breast	1.6856	1.9380
chr10	BAG3	+	121412012	Bcell+Brain	0.5392	0.7904
chr10	BBIP1	-	112658850	Bcell+hES+Breast	1.3020	1.3138
chr10	BBIP1	-	112666244	Testis+Bcell	1.7194	2.0837
chr10	BEND7	-	13522524	hES+Bcell	1.1982	1.6763
chr10	BTAF1	+	93749257	Bcell	1.0773	1.5518
chr10	CACUL1	-	120453068	Testis+Ovary+Bcell	0.9712	1.5947
chr10	CACUL1	-	120488575	Bcell+Breast	0.4111	0.9071
chr10	CCDC186	-	115884735	Testis+hES	1.0288	1.3997
chr10	CCSER2	+	86178812	hES+Bcell	1.5775	1.9456
chr10	CCSER2	+	86274159	Testis	1.0551	1.4881
chr10	CELF2	+	11252906	Bcell+Muscle	1.4942	1.7434
chr10	CELF2	+	11355734	Bcell+Breast	1.2178	2.0109
chr10	CELF2	+	11371221	Testis+Bcell	0.4380	0.7617
chr10	CELF2	+	11371748	Bcell	1.7497	1.9491
chr10	CELF2	+	11378666	Brain	1.7926	2.0778
chr10	CEP55	+	95258594	hES+Ovary	1.6640	1.8306
chr10	CHST15	-	125842661	Bcell+Breast	0.5556	1.1963
chr10	CPEB3	-	93811833	Testis	0.6033	0.8539
chr10	CTNNA3	-	67675557	Brain+Muscle	1.7153	1.8051
chr10	CTNNA3	-	69030025	Bcell+hES	1.1422	1.6924
chr10	DHTKD1	+	12126348	Ovary+hES	1.6681	2.1838
chr10	DHX32	-	127536202	hES+Bcell	1.7160	1.9659
chr10	DHX32	-	127541993	hES	1.4243	2.1008
chr10	DIP2C	-	322902	Testis	1.6433	1.8418
chr10	DNAJB12	-	74105766	Bcell+hES	1.6449	1.7871
chr10	DNAJC1	-	22092712	Bcell	1.3296	1.4155
chr10	EDRF1	+	127431468	Bcell	1.5244	1.7077
chr10	EDRF1	+	127452152	Testis	0.8061	1.0721
chr10	ERLIN1	-	101911569	Testis	1.0886	1.1757
chr10	EXOC6	+	94752699	hES+Ovary	1.6952	1.7684
chr10	FAM149B1	+	75001059	Testis	1.6797	1.7611
chr10	FAM160B1	+	116659585	Testis	0.4035	0.5659
chr10	FAM53B	-	126303173	Bcell	1.1444	1.6549
chr10	FRAT1	+	99080179	Testis+Muscle	0.4693	0.9025
chr10	HNRNPF	-	43881945	Testis	0.8962	2.0501
chr10	IDI1	-	1087274	Testis	0.4743	1.0617
chr10	IDI1	-	1088497	Testis+Bcell	1.2813	1.4527
chr10	IKZF5	-	124753136	Bcell	1.5635	1.7098
chr10	INPP5A	+	134567490	Testis	1.4713	2.0127
chr10	KCNMA1	-	78629362	Brain	1.3007	1.6518
chr10	KCNMA1	-	78637352	Testis+Ovary	0.6077	0.9261
chr10	KCNMA1	-	78644648	Breast+Ovary	1.7577	1.9274
chr10	KCNMA1	-	78646829	Testis	0.5918	0.6855
chr10	KIAA1217	+	24834240	Muscle+Testis	1.1935	1.6905
chr10	KLF6	-	3818189	Testis+Ovary	1.3163	1.8290
chr10	KLF6	-	3825853	Testis	0.8934	1.3030
chr10	MARCH5	+	94111120	Testis	0.4928	1.0508
chr10	MARCH8	-	45952963	Testis	1.6336	1.8145
chr10	MARCH8	-	45953755	Testis	0.9595	1.2568
chr10	MGEA5	-	103545527	Bcell	0.9834	2.0071
chr10	MGEA5	-	103545901	Testis	1.0127	1.5641
chr10	MSS51	-	75178781	Muscle	1.7664	1.8068
chr10	NHLRC2	+	115636878	Bcell+Testis	0.8397	1.2357
chr10	NRG3	+	84746771	Brain+Testis+Breast	1.6532	1.7994
chr10	NRG3	+	84746932	Brain+Ovary	1.6878	1.8376
chr10	NRP1	-	33486566	hES	1.2367	1.9771
chr10	NSMCE4A	-	123727177	Bcell	1.6456	2.0584
chr10	NT5C2	-	104901823	Bcell	1.0205	1.1704
chr10	NT5C2	-	104936809	hES+Ovary	0.8744	1.1794
chr10	OAT	-	126086304	Testis	0.1938	0.4169
chr10	OPTN	+	13175263	Bcell	0.2205	0.2766
chr10	OTUD1	+	23729840	Testis	0.5686	0.8271
chr10	PCGF5	+	93020761	Bcell	0.6104	0.8665
chr10	PDZD8	-	119042610	Testis+Bcell	1.3207	1.4878
chr10	PDZD8	-	119043435	Muscle+Testis+Bcell	1.5442	1.4642
chr10	PDZD8	-	119129731	Ovary	0.5618	1.0494
chr10	PFKP	+	3162571	Testis	0.7123	1.0808
chr10	PIP4K2A	-	22825826	Testis+Bcell	1.7197	1.8769
chr10	PLEKHA1	+	124185645	Bcell+Breast	1.1641	1.7102
chr10	PPP3CB	-	75237868	Bcell	1.5523	1.5019
chr10	PTEN	+	89639821	hES	1.2236	1.3583
chr10	R3HCC1L	+	99984126	Bcell	1.6306	1.8884
chr10	RAB18	+	27810989	Bcell	0.3493	1.2310
chr10	RAB18	+	27833043	Bcell	0.8607	1.7487
chr10	RHOBTB1	-	62630961	Testis+Bcell	1.4854	1.7163
chr10	RNLS	-	90044720	Breast+Brain	1.6292	1.8186
chr10	RPP30	+	92665400	hES	1.6086	1.8423
chr10	RSU1	-	16635301	Testis+Muscle	1.3767	1.8406
chr10	RUFY2	-	70136951	Brain+Testis	1.3651	1.4273
chr10	SAMD8	+	76882012	hES+Muscle+Ovary	1.0798	1.2290
chr10	SEPHS1	-	13379145	Bcell	1.5925	1.9272
chr10	SFR1	+	105885523	Testis	1.3663	2.0228
chr10	SGMS1	-	52066701	Testis	1.5453	1.7163
chr10	SGPL1	+	72599666	Bcell	1.3945	2.0102
chr10	SGPL1	+	72623142	Bcell	0.9010	1.2429
chr10	SIRT1	+	69658299	Bcell	1.5545	1.8385
chr10	SIRT1	+	69676482	Testis	0.5220	0.8176
chr10	SMC3	+	112358797	Bcell	1.3465	1.6130
chr10	SUFU	+	104390019	Testis	0.3966	0.9483
chr10	SUV39H2	+	14944593	Testis+Bcell	1.7618	1.9186
chr10	SVIL	-	29843991	hES+Bcell	1.1978	2.0122
chr10	TCTN3	-	97447543	Bcell	1.1793	1.9010
chr10	TFAM	+	60154809	Testis+hES	0.2802	0.4971
chr10	TFAM	+	60154934	Testis+Ovary	0.5682	0.6324
chr10	TM9SF3	-	98319656	Bcell	0.3751	0.7318
chr10	TMEM254	+	81851615	Testis+Muscle+hES	1.4683	2.1865
chr10	TNKS2	+	93565853	hES+Muscle	1.1534	1.2461
chr10	TRDMT1	-	17228841	Brain	0.7579	1.1658
chr10	TUBGCP2	-	135103333	Testis+Ovary	1.3515	1.7257
chr10	USP6NL	-	11547663	hES+Muscle	1.1119	1.2451
chr10	WAC	+	28828885	hES	1.7491	1.6157
chr10	WDR37	+	1175453	Testis+Ovary	0.4659	0.7192
chr10	YME1L1	-	27402979	hES	0.2406	0.7161
chr10	ZDHHC6	-	114204987	Bcell+Muscle	1.3047	1.8401
chr10	ZEB1	+	31677413	Testis+hES	0.6117	0.7823
chr10	ZEB1	+	31755654	Bcell+Breast	1.3471	1.9539
chr10	ZEB1	+	31816225	Bcell+Testis+Muscle	1.6508	1.8983
chr10	ZFAND4	-	46113496	Testis	1.7786	2.1413
chr10	ZFAND4	-	46135155	Bcell+Testis	1.3433	1.7190
chr10	ZMIZ1	+	81073159	Testis	0.1263	0.2469
chr10	ZMYND11	+	199274	Bcell+hES	1.0636	1.2014
chr10	ZMYND11	+	295198	Testis	0.8441	1.1602
chr10	ZMYND11	+	295720	Testis+Bcell	0.9735	1.4954
chr10	ZRANB1	+	126673853	Testis+Bcell	1.2894	1.4332
chr11	ACER3	+	76731611	Testis+Bcell	1.6400	2.0276
chr11	ADRBK1	+	67052958	Bcell+Breast	0.9533	1.2456
chr11	AMOTL1	+	94604324	Testis+Bcell	1.5655	1.9290
chr11	APBB1	-	6428223	Bcell+Breast	1.4331	1.6447
chr11	API5	+	43347834	Bcell	0.8194	1.2721
chr11	API5	+	43362392	Bcell	1.7727	1.5621
chr11	ARHGEF12	+	120356066	Testis+Bcell	1.3124	1.6715
chr11	BACE1	-	117159962	Testis+Bcell	0.8357	1.0477
chr11	C11orf49	+	46976393	hES	0.4252	0.5131
chr11	C11orf57	+	111953075	Bcell+Brain	1.2297	1.4657
chr11	C11orf58	+	16779881	Bcell	1.3230	2.1683
chr11	CAT	+	34493346	hES	0.5748	1.8577
chr11	CBL	+	119170663	Testis+Muscle	0.4695	0.7191
chr11	CCDC82	-	96110573	Bcell	1.5386	2.0057
chr11	CD44	+	35198757	Bcell	0.4314	0.8645
chr11	CD81	+	2418215	Bcell	1.0345	1.4230
chr11	CELF1	-	47489958	Testis	1.5782	1.9297
chr11	CEP57	+	95564303	Testis+Ovary	1.3139	1.9263
chr11	CEP57	+	95564705	Testis+hES	1.2890	1.7445
chr11	CLPB	-	72004353	Testis	1.6337	1.7588
chr11	CLPB	-	72075553	hES+Bcell+Ovary	0.9389	1.2470
chr11	CLPB	-	72139868	Testis	1.5893	1.8560
chr11	COLCA2	+	111179182	Testis+Bcell	1.7673	1.8778
chr11	CPSF7	-	61196406	Bcell+Testis	0.9213	1.4471
chr11	CSTF3	-	33145258	hES	0.8751	1.5473
chr11	CUL5	+	107944780	Bcell	0.4523	0.7514
chr11	DDB1	-	61088888	Bcell	1.3669	1.6121
chr11	DENND5A	-	9223848	Bcell	0.8933	1.1261
chr11	DKK3	-	12022410	hES	0.9019	1.3152
chr11	DLG2	-	83170389	Testis+Bcell+Muscle	1.6081	2.0538
chr11	DLG2	-	83820536	Testis+Muscle	1.2099	1.5478
chr11	DNAJC24	+	31436823	Bcell+Testis	1.6553	1.9866
chr11	EIF3F	+	8012423	Bcell	1.2326	1.5481
chr11	EIF4G2	-	10819280	Testis+Ovary	0.1848	0.3693
chr11	FAM76B	-	95504525	Testis+Muscle+hES	1.4427	1.8630
chr11	FAR1	+	13750424	Testis+Bcell	0.7676	0.9062
chr11	FLI1	+	128595492	Bcell+hES	1.7505	2.1287
chr11	GTF2H1	+	18356440	Bcell+Muscle	1.5264	1.7584
chr11	HIPK3	+	33375178	Testis	0.2829	0.6946
chr11	IGHMBP2	+	68674084	Muscle	0.8897	1.2750
chr11	IMMP1L	-	31464298	hES+Bcell	1.7343	2.0053
chr11	IPO7	+	9408866	Bcell	0.2850	0.6514
chr11	KBTBD3	-	105917582	Brain+Ovary+Breast	1.6342	1.6971
chr11	KMT2A	+	118352973	Bcell	1.0593	1.2157
chr11	MPZL2	-	118127634	hES	1.2787	1.9029
chr11	MRVI1	-	10613953	Testis+Bcell	1.2648	1.4210
chr11	MRVI1	-	10666666	Muscle+Bcell+hES	1.6311	1.6660
chr11	MSANTD2	-	124659145	Bcell	1.2914	1.7557
chr11	MTMR2	-	95656734	Brain+Breast+Bcell	1.5773	1.6226
chr11	NEU3	+	74701193	Muscle+Testis+Bcell	1.5388	1.7963
chr11	NTM	+	131240661	Breast+Brain	1.6486	1.7522
chr11	NTM	+	132206290	Testis+Brain	1.7952	1.8327
chr11	NUP98	-	3697112	Testis	1.2258	1.9241
chr11	NUP98	-	3719217	Bcell	1.7821	2.1434
chr11	OPCML	-	132284876	Brain+Testis	1.5564	2.0665
chr11	PACS1	+	65957705	hES+Bcell+Testis	1.3936	1.4351
chr11	PAFAH1B2	+	117047119	Muscle+Bcell+Testis	1.4880	1.8005
chr11	PAFAH1B2	+	117048018	Bcell+Muscle	1.5015	1.4620
chr11	PANX1	+	93914135	Bcell+Testis+hES	1.6673	2.0645
chr11	PCF11	+	82895932	Testis	1.0799	1.4178
chr11	PDE3B	+	14798570	Brain+Breast+Bcell	1.5529	1.6271
chr11	PDE3B	+	14896203	Bcell+Brain+Breast	1.1486	1.2193
chr11	PGM2L1	-	74042771	Bcell	1.5231	2.0754
chr11	PICALM	-	85669875	Testis	0.2232	0.4511
chr11	PICALM	-	85753438	Bcell	1.0330	1.0640
chr11	PPFIA1	+	70209460	Muscle	0.7539	1.1748
chr11	PPFIA1	+	70224503	Testis+Bcell	1.2319	1.5254
chr11	PRDM10	-	129871286	Testis	1.3519	1.5104
chr11	PSMA1	-	14628239	Bcell	0.3544	0.6110
chr11	RBM7	+	114278665	Testis+Bcell	1.7204	1.9264
chr11	RNF141	-	10536290	Testis+hES	1.7526	1.8364
chr11	SESN3	-	94906873	Testis+Muscle+Bcell	1.3439	1.8893
chr11	SESN3	-	94931485	Bcell+Muscle	1.3096	1.9304
chr11	SF3B2	+	65821337	Bcell	0.9080	0.9810
chr11	SIK3	-	116716121	Testis	1.0066	1.8263
chr11	SIK3	-	116727643	Bcell	0.7349	1.0052
chr11	SIK3	-	116740241	Muscle+Brain+Testis	1.0815	1.2096
chr11	SLC1A2	-	35282361	Testis+Muscle+Ovary	1.0479	1.1162
chr11	SNX19	-	130771534	Bcell+hES	1.7324	2.1105
chr11	SORL1	+	121328600	Bcell	1.7523	1.7779
chr11	SPON1	+	14182878	hES+Muscle+Bcell	1.5558	1.6296
chr11	SUV420H1	-	67952386	Bcell+Muscle	0.9746	1.1936
chr11	TMEM126B	+	85345376	Bcell	0.2948	0.3682
chr11	TOLLIP	-	1319369	Bcell+Testis+Ovary	1.4309	1.6588
chr11	TP53I11	-	44956123	Testis	0.3458	0.4401
chr11	TRIM44	+	35732772	Bcell+hES	1.0638	1.2984
chr11	TRIM44	+	35828662	hES+Testis	1.3333	1.5804
chr11	TRIM66	-	8639272	Testis+Muscle	1.6702	2.0494
chr11	USP47	+	11931106	hES	1.3924	1.5971
chr11	USP47	+	11962726	hES+Ovary	1.0926	1.2931
chr11	WDR74	-	62599791	Testis+Ovary	0.5193	0.6228
chr11	WEE1	+	9610750	Muscle	1.1232	1.5693
